;cuerpo;fecha;seccion;titulo
340;El Mellizo puso suplentes pensando en la Copa Libertadores. Espinoza marcó el único gol del partido. Andrada volvió al arco en gran forma y le mete presión a Rossi.;17/11/2018;deportes;Boca cuidó nombres para la final con River, pero igual le ganó a Patronato por la Superliga
341;El legislador de Movimiento Evita aprovechó la Marcha del Orgullo para dar a conocer su identidad sexual.;17/11/2018;sociedad;"El diputado Leonardo Grosso reveló que es gay: ""Soy marica y siento orgullo"""
342;"El cantante dejó con la boca abierta a sus fanáticos, y su exmujer lo mandó al frente: ""Me da mucha tristeza porque no se tiene que enfocar en la cuestión física cuando él es tan buen artista"".";17/11/2018;música;Fher, el líder de Maná, impactó a todos con su nuevo rostro
343;Qué es la edición genética, para qué se usa y cuáles son los interrogantes que abre. Escribe Diego Pereyra.;17/11/2018;salud;Edición del ADN: ¿el fin de las enfermedades genéticas?
344;El deporte no fue ajeno al descubrimiento del paradero del aparato, después de un año de su último contacto.;17/11/2018;deportes;El emotivo minuto de silencio en la cancha de Boca luego de la aparición del ARA San Juan
345;¿El formato será la “salvación” para el papel? Ya lo ofrecen editoriales de renombre y en campañas de financiamiento colectivo.  ;17/11/2018;tecno;Lectura en la era digital: el nuevo boom son los libros de papel con el tamaño de un smartphone
346;Los dirigentes reaccionaron en las redes sociales tras la localización del submarino. La crítica de Aníbal Fernández y el olvido de Agustín Rossi.;17/11/2018;política;Del homenaje a la especulación: la reacción de los políticos tras el hallazgo del ARA San Juan
347;"Antes de las fiestas, los millennials preparan las bromas para contrarrestar los comentarios de padres, abuelos y tíos, que siempre hablan de ""aquellos años felices"" sin tanta tecnología.";17/11/2018;tecno;"El nuevo meme que se burla de la nostalgia: ""Disfrutando el momento, sin celulares a la vista"""
348;"Jorge Bergallo, excomandante del submarino e integrante de la comisión investigadora, también dijo que aunque logren sacarlo ""no se va a saber qué pasó"".";17/11/2018;sociedad;"ARA San Juan │El papá de un tripulante: ""Preferiría que no lo refloten"""
349;La directora de la Clínica Las Condes informó que no podrán confirmar si el hijo del expresidente necesitará otro tipo de tratamientos hasta tener la conclusión del estudio del tumor. ;17/11/2018;sociedad;Máximo Menem se recupera de la operación: los resultados de la biopsia tardarán varios días
350;La jurado del Bailando 2018 apareció en las redes a cara lavada y está hecha una diosa.;17/11/2018;show;Laurita Fernández, a lo Wanda Nara: así es sin una gota de maquillaje
351;Alfredo Nabas había caído desde una altura de 2.800 metros en la cara nortel del Volcán.;17/11/2018;sociedad;Encontraron muerto al andinista que cayó en una grieta del volcán Lanín
352;La rubia se lució con su coreografía y el jurado la premió. ¿Qué dijo de su supuesto nuevo romance?;17/11/2018;show;Bailando 2018 | La cumbia sexy de Soledad Fandiño ¡con manitos indiscretas!
353;Una mujer atropelló y mató a una manifestante en un corte de ruta.;17/11/2018;internacional;Al menos un muerto y 106 heridos en una masiva protesta anti-Macron en Francia por el alza de los combustibles
354;Desde la madrugada las tendencias en la red social se llenaron de palabras para los submarinistas y sus familiares.;17/11/2018;tecno;#44Heroes y ARA San Juan, los homenajes en las redes tras la aparición del submarino
355;La cantante mexicana no quedó nada conforme con el premio que obtuvo el reggaetonero y su cara lo dijo todo...;17/11/2018;música;La inesperada reacción de Natalia Lafourcade cuando Maluma subió a recibir su Grammy
356;El ministro de Defensa aseguró que investigan por qué la nave no envió alertas. No obstante, a principios de octubre Ruben Darío Espínola declaró que tres frecuencias se produjeron a las 14:18 del 15 del noviembre de 2017, cuatro horas después de la implosión. ;17/11/2018;sociedad;ARA San Juan: un suboficial denunció presiones para borrar comunicaciones cerca de donde apareció el submarino
357;El buque Seabed Constructor confirmó que el objeto de 60 metros de diámetro encontrado a 907 metros de profundidad en el Atlántico Sur era el submarino argentino.;17/11/2018;sociedad;El lugar exacto donde ubicaron al submarino ARA San Juan
358;Las recomendaciones de un neonatólogo para saber qué hacer cuando se lleva al recién nacido a casa.;17/11/2018;salud;Cinco consejos para cuidar a un bebé prematuro
359;Lo anunció en el mensaje presidencial. ;17/11/2018;política;Mauricio Macri decretó duelo nacional tras el hallazgo del ARA San Juan
360;El mejor plan para tu fin de semana, por la pantalla de TN el sábado a las 23 y el domingo a las 14:30 horas. ;17/11/2018;autos;Hoy mirá TN Autos: probamos la nueva generación de los camiones Scania
361;La Armada difundió las fotografías tomadas por la empresa Ocean Infinity. La unidad naval fue hallada a 907 metros de profundidad. ;17/11/2018;política;"Las primeras imágenes del ARA San Juan en el fondo del mar: ""La implosión sucedió cerca del lecho marino"""
362;En el Día Internacional del Cáncer de Pulmón, una mirada psicológica a la forma de enfrentar la noticia. Escribe Eliana Alvarez.;17/11/2018;salud;Qué hacer cuando el diagnóstico de cáncer provoca una depresión
363;Lo fabricaron cuando el modelo todavía estaba en fase de preproducción. ;17/11/2018;autos;Subastarán el primer Ford Mustang Coupé, una joya de 1965: mirá las fotos
364;El ministro de Defensa aseguró que seguirán investigando las causas de la tragedia y dijo que será muy difícil sacar a la nave del mar.;17/11/2018;política;"Aguad, tras el hallazgo del ARA San Juan: ""No tenemos medios para reflotar al submarino"""
365;El 30 de noviembre del año pasado finalizó el operativo para rescatar con vida a los 44 tripulantes del navío desaparecido, y se anunció que se seguía con la búsqueda de la embarcación.;17/11/2018;sociedad;El día que se dio por terminada la fase de rescate del ARA San Juan y dejaron de buscar sobrevivientes
366;"""No hubo agonía, fue una cosa rápida, instantánea"", sostuvo Carlos Zavalla en diálogo con TN  tras el hallazgo del submarino.";17/11/2018;política;"El primer comandante del ARA San Juan: ""Los tripulantes no sufrieron"""
367;Las autoridades de la Armada les mostraron los registros de la nave y observaron el estado en el que fue hallada a 907 metros de profundidad. ;17/11/2018;sociedad;Desde Mar del Plata, los familiares siguen las novedades tras el hallazgo del ARA San Juan 
